Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,120.758,,106.777,-5.35971,18.7741,14.3566,1
,120.7587,,-0.364676,2.52221,21.2089,14.9963,1
,120.7593,,-150.83,14.7392,16.621,18.621,1
,120.76,,-184.672,21.2024,11.7514,30.5612,1
,120.7607,,-110.497,13.8722,12.3551,41.8617,1
,120.7613,,-45.8033,0.709373,19.6796,33.333,1
,120.762,,-17.7233,-8.11838,17.8485,24.4489,1
,120.7627,,-29.9764,-13.3204,-2.59578,29.3529,1
,120.7633,,-66.5899,-20.0201,-22.1345,26.0125,1
,120.764,,-58.6399,-24.5916,-27.9298,42.4303,1
,120.7647,,-19.5466,-18.5225,-25.495,96.8007,1
,120.7653,,-25.3815,0.0788192,-15.1119,97.7246,1
,120.766,,-64.7665,18.1284,-6.25804,13.7881,1
,120.7667,,-83.365,16.0003,-14.1862,-62.828,1
,120.7673,,-83.0732,4.41388,-21.5107,-98.8618,1
,120.768,,-88.5434,5.59616,-11.4496,-104.619,1
,120.7687,,-91.3149,11.7441,-4.42691,-53.3754,1
,120.7693,,-65.0582,7.40901,-5.03058,12.5798,1
,120.77,,-25.3815,-0.788192,3.19945,16.8442,1
,120.7707,,-14.66,-5.67498,8.391,-4.83293,1
,120.7713,,-17.1398,-9.06421,-0.160978,6.11223,1
,120.772,,0.291741,-12.6899,-6.86171,28.1447,1
,120.7727,,15.8269,-15.4486,-12.9789,41.8617,1
,120.7733,,8.53342,-12.0593,-13.2807,68.3717,1
,120.774,,-5.25134,-3.23159,15.1119,95.2371,1
,120.7747,,-10.138,1.02465,39.5202,103.481,1
,120.7753,,-8.60636,-0.472915,8.08917,131.91,1
,120.776,,-10.4297,0.709373,-37.3872,164.533,1
,120.7767,,-18.6714,2.83749,-37.9909,80.5962,1
,120.7773,,-21.7347,7.09373,-14.81,-100.354,1
,120.778,,-17.4315,14.4239,-2.29394,-183.083,1
,120.7787,,-12.8366,15.3697,5.63425,-136.957,1
,120.7793,,-3.42796,10.483,8.69284,-105.258,1
,120.78,,11.232,9.8524,4.12507,-107.39,1
,120.7807,,25.892,10.1677,6.25804,-83.5812,1
,120.7813,,42.3754,3.78332,15.7155,-58.5637,1
,120.782,,52.1487,-12.6899,13.2807,-53.3754,1
,120.7827,,52.4404,-26.4044,-0.764648,-41.151,1
,120.7833,,48.2102,-11.8229,1.36832,-24.6621,1
,120.784,,30.1952,20.8871,25.173,-21.9614,1
,120.7847,,-8.8981,35.2322,37.6891,-26.2257,1
,120.7853,,-48.2831,35.5475,26.4005,-17.3417,1
,120.786,,-70.2366,45.2422,16.0174,3.98006,1
,120.7867,,-78.4783,51.3901,9.29651,12.2245,1
,120.7873,,-54.9932,26.3256,-5.03058,3.05612,1
,120.788,,19.4737,-24.5916,-15.1119,0.923942,1
,120.7887,,109.257,-54.2276,-10.524,8.88406,1
,120.7893,,169.064,-25.2221,-0.160978,19.5449,1
,120.79,,189.486,27.5867,1.36832,26.2968,1
,120.7907,,151.341,55.3311,-11.4496,22.0325,1
,120.7913,,57.9835,57.1439,-22.7382,16.8442,1
,120.792,,-17.1398,28.5326,-12.6771,3.41148,1
,120.7927,,-25.0897,-38.3061,-3.82324,-42.9988,1
,120.7933,,15.2435,-83.2331,-16.3393,-76.545,1
,120.794,,78.1136,-58.4839,-30.6664,-51.8118,1
,120.7947,,133.909,-16.7097,-29.7609,-29.2819,1
,120.7953,,150.101,-14.2663,-21.2089,-39.9427,1
,120.796,,93.6489,-29.7937,-12.0533,-30.7744,1
,120.7967,,-57.4,-29.1631,-7.78733,-5.75687,1
,120.7973,,-203.927,-18.2072,-5.9562,3.98006,1
,120.798,,-195.321,-12.6899,3.80312,25.3729,1
,120.7987,,-93.1383,-16.3944,13.8844,57.0712,1
,120.7993,,-53.4615,-25.8527,17.8485,67.8031,1
,120.8,,-58.9317,-32.8676,22.7382,67.1635,1
,120.8007,,-50.9817,-32.5523,21.2089,46.126,1
,120.8013,,-51.6382,-21.8329,5.03058,-15.2095,1
,120.802,,-51.9299,1.33993,-4.12507,-53.3754,1
,120.8027,,-37.5617,14.4239,5.9562,-27.434,1
,120.8033,,-32.9667,-2.60103,16.0174,-6.39652,1
,120.804,,-33.6231,-11.5076,8.391,-10.3055,1
,120.8047,,-29.0282,23.6458,-12.3551,8.88406,1
,120.8053,,-26.2567,54.4641,-18.7741,28.1447,1
,120.806,,-15.0247,43.4294,7.16354,11.3005,1
,120.8067,,2.6986,24.5128,31.8939,2.20325,1
,120.8073,,12.7637,4.41388,25.7767,21.1085,1
,120.808,,21.2971,-38.6214,14.1862,32.409,1
,120.8087,,28.9553,-75.2723,14.1862,28.7133,1
,120.8093,,29.247,-71.3314,1.36832,21.1085,1
,120.81,,17.3586,-41.0648,-24.8712,10.4476,1
,120.8107,,-9.18984,-9.06421,-31.8939,7.03617,1
,120.8113,,-23.8498,15.685,-12.0533,18.0524,1
,120.812,,-16.1916,29.3996,5.9562,28.429,1
,120.8127,,-19.8384,27.2714,7.16354,21.6771,1
,120.8133,,-27.2048,12.9263,8.99467,9.16835,1
,120.814,,5.76188,7.40901,13.2807,15.2806,1
,120.8147,,68.9238,19.3107,3.80312,18.3367,1
,120.8153,,149.226,22.6999,-7.18366,-24.3779,1
,120.816,,245.646,9.30067,-0.764648,-72.565,1
,120.8167,,298.159,5.59616,3.19945,-57.0001,1
,120.8173,,255.711,15.0545,-2.29394,-15.8492,1
,120.818,,151.632,19.3107,-5.03058,-7.60475,1
,120.8187,,12.7637,16.8673,-12.6771,-9.73693,1
,120.8193,,-155.644,16.6309,-17.8485,-3.34041,1
,120.82,,-274.382,17.4979,-2.89761,-9.73693,1
,120.8207,,-263.442,16.3156,8.69284,-17.9813,1
,120.8213,,-157.832,8.67011,-2.29394,-10.6609,1
,120.822,,-37.2699,-0.788192,-10.8459,-6.68081,1
,120.8227,,31.7268,-1.73402,-6.25804,-13.717,1
,120.8233,,-9.48158,1.97048,4.42691,-14.6409,1
,120.824,,-116.332,2.28576,14.1862,-8.81298,1
,120.8247,,-147.475,2.83749,8.69284,-7.32046,1
,120.8253,,-80.3017,6.54199,2.29394,-3.6247,1
,120.826,,-22.6099,8.67011,9.9203,3.69577,1
,120.8267,,-6.12656,8.98539,-0.462813,4.904,1
,120.8273,,-2.4798,6.22672,-27.9298,4.904,1
,120.828,,-30.8516,-1.41875,-25.173,3.05612,1
,120.8287,,-72.6435,-7.25137,-2.59578,-8.81298,1
,120.8293,,-45.5116,-8.43365,4.12507,-15.4938,1
,120.83,,31.4351,-10.2465,6.86171,-8.17333,1
,120.8307,,59.4422,-9.06421,9.29651,0.0710725,1
,120.8313,,37.7805,-0.157638,14.1862,14.9963,1
,120.832,,23.4851,9.8524,28.8353,40.2981,1
,120.8327,,15.2435,9.53712,17.8485,68.3717,1
,120.8333,,18.3067,-6.62081,-19.6796,104.69,1
,120.834,,36.6135,-21.8329,-14.1862,129.707,1
,120.8347,,23.1934,-19.1531,24.8712,129.139,1
,120.8353,,-11.9614,-20.0201,26.0785,132.479,1
,120.836,,-45.5116,-37.1238,5.03058,94.9528,1
,120.8367,,-116.915,-37.4391,1.67015,-42.7145,1
,120.8373,,-132.45,-14.5027,-5.03058,-157.71,1
,120.838,,40.552,6.22672,-18.1704,-126.935,1
,120.8387,,273.07,29.3996,-20.9071,-46.3392,1
,120.8393,,421.712,54.4641,-24.2675,-25.0175,1
,120.84,,522.727,63.2918,-29.1572,-40.8667,1
,120.8407,,524.915,70.622,-25.173,-64.6759,1
,120.8413,,354.319,82.5237,-18.7741,-83.8655,1
,120.842,,130.554,64.2377,-11.7514,-79.9565,1
,120.8427,,-24.725,20.2565,-1.99211,-66.1684,1
,120.8433,,-91.3149,-9.93122,1.97199,-50.035,1
,120.844,,-79.3535,-22.7788,3.80312,-20.1135,1
,120.8447,,-84.2402,-32.5523,10.524,3.98006,1
,120.8453,,-177.379,-32.5523,10.524,5.25936,1
,120.846,,-282.624,-23.7246,3.19945,-2.98504,1
,120.8467,,-310.121,-19.1531,1.36832,-9.45264,1
,120.8473,,-253.304,-19.1531,3.19945,-6.9651,1
,120.848,,-168.772,-20.0201,1.36832,3.98006,1
,120.8487,,-131.867,-24.2763,-2.29394,9.52371,1
,120.8493,,-126.105,-27.9808,-5.03058,9.808,1
,120.85,,-95.8369,-22.7788,-3.19945,11.3005,1
,120.8507,,-73.8834,-16.7097,-0.160978,10.0923,1
,120.8513,,-76.6549,-15.4486,-1.06648,7.67582,1
,120.852,,-58.6399,-10.8771,0.462813,0.355362,1
,120.8527,,-39.0933,-3.23159,5.33241,-19.8292,1
,120.8533,,-54.9932,2.83749,1.67015,-28.9265,1
,120.854,,-64.4018,6.54199,-6.55987,-13.3616,1
,120.8547,,-40.9167,3.78332,-4.12507,-3.34041,1
,120.8553,,-25.0897,1.02465,1.67015,-12.793,1
,120.856,,-33.3314,3.78332,-1.06648,-17.697,1
,120.8567,,-40.0415,-1.41875,-2.29394,-8.17333,1
,120.8573,,-34.2066,-14.5027,0.462813,5.25936,1
,120.858,,-27.7883,-17.2614,-6.55987,14.3566,1
,120.8587,,-22.0264,-16.0791,-15.7155,12.2245,1
,120.8593,,-12.8366,-13.6357,-19.0759,5.25936,1
,120.86,,-8.8981,-0.157638,-27.9298,12.2245,1
,120.8607,,-10.7215,8.35484,-30.3646,29.3529,1
,120.8613,,-5.25134,4.0986,-2.29394,44.9178,1
,120.862,,2.40686,2.83749,33.403,66.8792,1
,120.8627,,1.4587,-0.788192,35.2342,90.0488,1
,120.8633,,-0.364676,-6.93609,8.69284,83.6523,1
,120.864,,1.16696,-2.60103,-12.0533,60.4827,1
,120.8647,,3.64676,-3.54686,-12.6771,56.2183,1
,120.8653,,13.0554,-14.5027,-8.391,37.8816,1
,120.866,,27.4237,-12.0593,-9.61846,-4.26435,1
,120.8667,,32.3103,-2.60103,-9.9203,-7.32046,1
,120.8673,,28.9553,1.6552,-8.08917,-17.9813,1
,120.868,,25.3085,6.85727,-8.08917,-114.995,1
,120.8687,,20.7136,16.6309,3.19945,-170.574,1
,120.8693,,17.6503,29.0843,27.0041,-93.3181,1
,120.87,,34.1337,36.7298,37.6891,-36.6023,1
,120.8707,,75.6339,34.9169,30.9682,-36.247,1
,120.8713,,100.359,38.2273,20.2833,40.0138,1
,120.872,,84.532,25.4586,7.16354,118.122,1
,120.8727,,88.1787,-28.2961,-0.462813,61.6909,1
,120.8733,,109.84,-59.4297,5.03058,-16.1334,1
,120.874,,33.2585,-30.4242,6.55987,-14.2856,1
,120.8747,,-105.027,-8.74893,-5.03058,-14.9252,1
,120.8753,,-125.157,-9.06421,-8.08917,-31.6983,1
,120.876,,-46.7515,8.67011,4.42691,-5.47258,1
,120.8767,,-24.4333,22.0694,13.2807,30.5612,1
,120.8773,,-44.9281,11.7441,11.1276,38.8056,1
,120.878,,-26.2567,2.52221,7.16354,44.2781,1
,120.8787,,28.0071,-4.17742,8.99467,33.9016,1
,120.8793,,96.4204,-13.0052,11.7514,-13.3616,1
,120.88,,143.391,-16.7097,-0.160978,-61.6198,1
,120.8807,,133.034,-17.892,-16.0174,-77.1847,1
,120.8813,,97.952,-5.67498,-4.12507,-47.2632,1
,120.882,,54.2638,22.0694,23.3419,16.8442,1
,120.8827,,-37.2699,36.7298,29.4389,57.0712,1
,120.8833,,-133.69,36.7298,27.9096,58.3505,1
,120.884,,-132.45,36.4145,32.4975,61.4066,1
,120.8847,,-58.3482,12.6111,31.8939,33.6173,1
,120.8853,,-18.6714,-32.8676,41.3513,-49.1111,1
,120.886,,-18.9632,-54.5429,56.3022,-87.5613,1
,120.8867,,-7.07472,-45.6363,47.4484,-37.8105,1
,120.8873,,-4.30318,-42.0106,32.7994,11.0162,1
,120.888,,-27.2048,-42.0106,12.0533,22.3167,1
,120.8887,,-28.7365,-18.5225,-50.2052,37.5973,1
,120.8893,,-21.37,4.0986,-90.1882,82.7283,1
,120.89,,-47.335,-7.8031,-37.9909,154.796,1
,120.8907,,-73.8834,-17.2614,23.3419,212.72,1
,120.8913,,-88.8351,10.1677,19.6796,199.003,1
,120.892,,-121.51,34.9169,-7.4855,134.327,1
,120.8927,,-134.347,40.4343,-31.2902,101.989,1
,120.8933,,-44.5634,55.9616,-46.5429,78.1797,1
,120.894,,213.627,69.6762,-37.9909,-64.6759,1
,120.8947,,569.77,63.9224,-37.3872,-275.264,1
,120.8953,,740.949,59.3509,-61.7956,-312.79,1
,120.896,,584.43,53.8335,-60.5883,-162.614,1
,120.8967,,322.884,31.5277,-30.6664,-57.6398,1
,120.8973,,94.597,5.91144,-10.8459,-57.3555,1
,120.898,,-166.657,-8.43365,6.55987,-52.1672,1
,120.8987,,-336.669,-15.7638,12.3551,-34.4701,1
,120.8993,,-282.332,-28.6114,-9.01479,-27.7183,1
,120.9,,-181.9,-56.3557,-12.3551,-16.4177,1
,120.9007,,-169.137,-68.888,3.19945,-24.3779,1
,120.9013,,-154.185,-31.0548,-16.0174,-46.0549,1
,120.902,,-114.8,18.4437,-32.4975,-33.5462,1
,120.9027,,-89.7833,24.8281,4.12507,-6.39652,1
,120.9033,,-53.7533,3.78332,33.725,-8.81298,1
,120.904,,-15.8999,-17.892,16.0174,-16.4177,1
,120.9047,,-7.6582,-52.9665,-3.5214,-0.56858,1
,120.9053,,-20.2031,-81.972,-6.55987,13.1484,1
,120.906,,-48.8666,-58.7991,-2.89761,-4.26435,1
,120.9067,,-73.2999,-16.0791,12.6569,-31.414,1
,120.9073,,-65.0582,-10.5618,17.5467,-30.7744,1
,120.908,,-57.6918,-12.0593,-3.5214,-12.5088,1
,120.9087,,-71.1119,11.1135,-15.7155,2.77183,1
,120.9093,,-63.8183,12.9263,-5.03058,19.5449,1
,120.91,,-40.9167,-11.5076,2.59578,24.4489,1
,120.9107,,-38.8016,-6.93609,-2.89761,0.639652,1
,120.9113,,-36.6864,13.8722,-7.78733,-16.1334,1
,120.912,,-20.7865,4.72915,-3.19945,-2.41646,1
,120.9127,,-21.7347,-13.0052,5.9562,6.75188,1
,120.9133,,-35.7383,-11.5076,7.46538,-0.28429,1
,120.914,,-29.6117,-6.93609,5.33241,5.54365,1
,120.9147,,-4.30318,-3.86214,7.46538,22.601,1
,120.9153,,11.8884,7.40901,5.33241,15.9202,1
,120.916,,6.05363,17.4979,-1.99211,-14.0013,1
,120.9167,,-9.77332,17.4979,0.140856,-33.2619,1
,120.9173,,-16.1916,16.6309,7.16354,-23.4539,1
,120.918,,-12.2531,16.6309,5.33241,-0.56858,1
,120.9187,,-8.24168,11.4288,2.29394,8.59977,1
,120.9193,,0.291741,5.28089,6.86171,-0.56858,1
,120.92,,14.2953,4.0986,8.69284,-8.81298,1
,120.9207,,17.6503,4.72915,2.29394,-3.90898,1
,120.9213,,9.70039,7.40901,-2.89761,1.2793,1
,120.922,,3.35502,12.6111,0.462813,2.20325,1
,120.9227,,1.82338,9.30067,1.36832,3.98006,1
,120.9233,,1.4587,-0.157638,-4.72874,4.904,1
,120.924,,5.76188,-0.157638,-0.462813,8.59977,1
,120.9247,,20.4219,3.78332,11.4496,22.0325,1
,120.9253,,38.7286,-1.10347,7.16354,29.3529,1
,120.926,,50.9088,-5.99026,4.42691,22.9564,1
,120.9267,,52.4404,-2.0493,22.4364,21.3928,1
,120.9273,,40.552,2.52221,22.7382,24.1646,1
,120.928,,26.8402,-0.157638,-5.35253,20.1846,1
,120.9287,,42.0836,-9.93122,-13.2807,23.2407,1
,120.9293,,94.2323,-16.0791,1.36832,34.1858,1
,120.93,,147.694,-8.43365,3.50128,27.7893,1
,120.9307,,163.229,4.72915,-2.59578,7.67582,1
,120.9313,,144.047,14.7392,-2.59578,-2.41646,1
,120.932,,131.502,23.0152,-1.36832,-0.56858,1
,120.9327,,110.716,25.7739,1.06648,6.46759,1
,120.9333,,9.70039,20.2565,1.67015,9.52371,1
,120.934,,-108.674,14.4239,-2.89761,-3.6247,1
,120.9347,,-100.432,12.6111,-5.03058,-23.1696,1
,120.9353,,-45.5116,11.4288,-3.5214,-25.0175,1
,120.936,,-105.027,7.40901,-4.12507,-14.2856,1
,120.9367,,-191.09,2.28576,-5.03058,-7.88904,1
,120.9373,,-170.012,0.0788192,-5.03058,-7.32046,1
,120.938,,-98.3167,-0.788192,-1.99211,-9.09727,1
,120.9387,,-37.2699,-5.67498,3.19945,-12.793,1
,120.9393,,17.9421,-4.49269,1.06648,-8.81298,1
,120.94,,53.6803,10.1677,-6.25804,17.7681,1
,120.9407,,66.2252,19.3107,-7.4855,57.9951,1
,120.9413,,56.7436,4.72915,-5.03058,77.54,1
,120.942,,19.182,-11.8229,-1.36832,72.636,1
,120.9427,,-8.24168,-10.2465,4.12507,73.9154,1
,120.9433,,-2.77154,-4.49269,-1.06648,72.0675,1
,120.944,,0.583482,-8.74893,-13.5826,22.9564,1
,120.9447,,-0.656417,-7.25137,-15.1119,-58.5637,1
,120.9453,,27.7154,6.85727,-3.19945,-90.6174,1
,120.946,,65.5688,9.53712,6.86171,-29.5661,1
,120.9467,,69.872,-3.86214,6.25804,51.8829,1
,120.9473,,65.8605,-9.37949,3.50128,63.5388,1
,120.948,,84.1673,-4.80797,5.33241,31.7694,1
,120.9487,,59.8069,-5.67498,4.12507,8.59977,1
,120.9493,,-39.385,-9.93122,1.97199,-21.0374,1
,120.95,,-109.257,-10.8771,11.1276,-46.3392,1
,120.9507,,-101.672,-9.37949,14.1862,-61.3355,1
,120.9513,,-101.015,-6.30554,-0.764648,-107.675,1
,120.952,,-136.462,-9.06421,0.764648,-107.106,1
,120.9527,,-131.867,-13.951,19.6796,16.2045,1
,120.9533,,-28.7365,0.0788192,11.4496,92.8206,1
,120.954,,105.246,24.5128,-12.0533,7.96011,1
,120.9547,,144.339,31.2124,-17.8485,-72.2807,1
,120.9553,,133.617,30.3454,-17.8485,-56.1472,1
,120.956,,174.242,33.1041,-19.6796,-36.6023,1
,120.9567,,164.761,22.3847,-16.0174,-34.4701,1
,120.9573,,71.9871,3.15277,-5.9562,-13.0773,1
,120.958,,41.5002,-2.60103,17.5467,-6.39652,1
,120.9587,,9.40865,-4.17742,18.1503,-34.1148,1
,120.9593,,-116.332,-15.7638,-29.4591,-47.5475,1
,120.96,,-136.462,-27.3503,-40.4458,-14.2856,1
,120.9607,,-22.6099,-26.7197,19.6796,23.2407,1
,120.9613,,-17.7233,-23.094,36.7635,28.1447,1
,120.962,,-98.6085,-26.168,-9.61846,36.0337,1
,120.9627,,-89.4186,-19.7048,-12.3551,43.9938,1
,120.9633,,-40.9167,12.6111,21.5107,-11.5848,1
,120.964,,-42.7401,38.5426,20.2833,-77.7533,1
,120.9647,,-55.8684,22.0694,3.80312,-62.828,1
,120.9653,,-39.385,-7.25137,7.78733,-24.3779,1
,120.966,,-8.8981,-15.4486,14.4881,-29.8504,1
,120.9667,,-13.493,-24.9069,12.6569,-30.7744,1
,120.9673,,-45.5116,-47.2127,16.0174,-11.8691,1
,120.968,,-34.4984,-46.2669,23.04,-2.98504,1
,120.9687,,5.47014,-15.4486,11.4496,6.75188,1
,120.9693,,8.53342,5.28089,-9.01479,20.4689,1
,120.97,,-4.01144,-1.73402,-7.78733,25.0886,1
,120.9707,,-1.89632,-8.11838,-0.462813,31.4851,1
,120.9713,,-3.06328,0.394096,-4.12507,30.5612,1
,120.972,,-3.42796,5.28089,3.19945,16.8442,1
,120.9727,,2.40686,-0.472915,16.943,16.2045,1
,120.9733,,3.64676,-1.10347,21.5107,11.6559,1
,120.974,,3.9385,3.78332,31.5719,-15.2095,1
,120.9747,,6.71004,1.97048,32.7994,-12.5088,1
,120.9753,,10.6485,-0.472915,16.943,27.2207,1
,120.976,,16.4104,5.28089,12.9588,39.7295,1
,120.9767,,15.2435,4.0986,-2.89761,27.505,1
,120.9773,,11.232,-5.04443,-41.6532,34.1858,1
,120.978,,16.4104,-3.86214,-38.6147,36.0337,1
,120.9787,,23.1934,-3.86214,-4.12507,9.52371,1
,120.9793,,14.2953,-18.5225,-4.12507,-13.3616,1
,120.98,,-27.7883,-19.1531,-10.2221,-11.8691,1
,120.9807,,-92.1901,6.54199,3.19945,-5.75687,1
,120.9813,,-101.38,25.7739,-8.08917,-7.88904,1
,120.982,,37.7805,25.7739,-31.592,-6.9651,1
,120.9827,,300.858,22.0694,-30.0627,-0.28429,1
,120.9833,,484.582,25.1433,-23.6638,-6.04116,1
,120.984,,439.435,36.0992,-20.6052,-24.3779,1
,120.9847,,295.679,39.8037,-9.61846,-31.414,1
,120.9853,,156.811,21.2024,-2.59578,-24.6621,1
,120.986,,-120.854,1.02465,-1.69027,-17.697,1
,120.9867,,-430.026,0.709373,4.12507,-6.9651,1
,120.9873,,-387.651,1.97048,8.69284,9.52371,1
,120.988,,-93.4301,-10.2465,8.99467,19.5449,1
,120.9887,,5.76188,-23.7246,4.42691,19.2606,1
,120.9893,,-91.8984,-27.9808,-6.25804,14.9963,1
,120.99,,-135.222,-23.7246,-7.78733,8.88406,1
,120.9907,,-119.978,-13.951,-2.29394,-0.56858,1
,120.9913,,-103.787,-8.11838,-9.01479,-10.6609,1
,120.992,,-73.2999,-10.8771,-8.08917,-11.5848,1
,120.9927,,-54.6285,-7.25137,15.7155,3.05612,1
,120.9933,,-50.1065,8.35484,32.4975,16.8442,1
,120.994,,-33.9149,17.1826,44.7118,17.7681,1
,120.9947,,-27.2048,14.1875,63.3249,18.9763,1
,120.9953,,-30.2681,20.8871,47.1466,25.0886,1
,120.996,,-24.725,24.8281,5.33241,31.2008,1
,120.9967,,-24.4333,-2.91631,-1.06648,48.2582,1
,120.9973,,-29.0282,-37.1238,-2.59578,60.7669,1
,120.998,,-25.3815,-38.3061,-47.1466,36.6734,1
,120.9987,,-20.7865,-20.9659,-80.1069,15.2806,1
,120.9993,,-16.848,-11.8229,-65.4579,26.5811,1
,121,,-10.4297,-10.8771,-42.277,1.84788,1
,121.0007,,-5.83482,-12.6899,-25.173,-68.9403,1
,121.0013,,-1.2399,-22.4635,-13.5826,-83.5812,1
,121.002,,3.64676,-26.7197,-13.8844,-33.5462,1
,121.0027,,2.99035,-5.67498,-16.0174,-6.9651,1
,121.0033,,0.583482,27.2714,-20.9071,-14.0013,1
,121.004,,2.11512,35.2322,-20.9071,-17.0574,1
,121.0047,,5.1784,16.3156,15.7155,-17.697,1
,121.0053,,8.53342,0.0788192,59.6626,-16.1334,1
,121.006,,10.0651,-3.86214,55.0748,-6.39652,1
,121.0067,,7.58527,-3.86214,33.1012,-5.11722,1
,121.0073,,7.29352,-1.73402,30.3646,-16.4177,1
,121.008,,12.1802,2.83749,22.1144,-19.1896,1
,121.0087,,15.5352,5.91144,7.16354,-2.13217,1
,121.0093,,14.2953,4.72915,3.80312,18.3367,1
,121.01,,10.6485,2.83749,-7.78733,18.621,1
,121.0107,,9.40865,3.15277,-33.4231,6.75188,1
,121.0113,,12.4719,3.46805,-45.6374,3.05612,1
,121.012,,15.8269,2.83749,-40.7477,-0.28429,1
,121.0127,,16.7751,3.78332,-35.2543,-6.9651,1
,121.0133,,15.2435,9.53712,-37.9909,0.355362,1
,121.014,,10.3568,14.7392,-44.1081,9.16835,1
,121.0147,,9.40865,11.1135,-40.144,1.2793,1
,121.0153,,17.6503,9.30067,-28.2316,-3.34041,1
,121.016,,23.1934,24.5128,-23.3419,4.33542,1
,121.0167,,18.5985,33.1041,-21.8327,11.3005,1
,121.0173,,15.2435,17.4979,-6.86171,20.4689,1
,121.018,,17.3586,5.91144,24.2474,32.9776,1
,121.0187,,18.8902,-0.157638,51.1107,44.5624,1
,121.0193,,17.3586,-29.1631,47.7502,60.7669,1
,121.02,,9.40865,-46.5822,20.6052,82.7283,1
,121.0207,,-3.42796,-18.5225,7.16354,87.6323,1
,121.0213,,-8.8981,8.03956,12.3551,39.3741,1
,121.022,,-0.656417,1.6552,13.8844,-42.7145,1
,121.0227,,14.587,-9.06421,18.7741,-63.1123,1
,121.0233,,25.0168,-9.93122,33.403,-17.0574,1
,121.024,,21.6618,-13.0052,28.8353,-23.1696,1
,121.0247,,12.1802,-16.3944,8.08917,-76.9004,1
,121.0253,,8.82516,-7.48782,2.59578,-57.0001,1
,121.026,,11.232,9.53712,4.42691,15.6359,1
,121.0267,,13.4201,16.0003,3.50128,36.9577,1
,121.0273,,14.0036,7.09373,11.7514,22.9564,1
,121.028,,12.4719,1.97048,13.2807,23.525,1
,121.0287,,9.40865,1.02465,0.764648,10.7319,1
,121.0293,,4.81373,-4.17742,4.12507,-32.6223,1
,121.03,,0.291741,-3.23159,15.4137,-59.2034,1
,121.0307,,-0.948158,3.78332,5.63425,-45.4153,1
,121.0313,,1.4587,1.6552,-5.9562,-24.0936,1
,121.032,,2.99035,-4.17742,0.462813,-1.77681,1
,121.0327,,6.05363,-1.10347,5.33241,24.1646,1
,121.0333,,12.1802,3.15277,1.67015,5.82794,1
,121.034,,11.5967,2.83749,-5.9562,-55.5076,1
,121.0347,,4.81373,2.52221,-17.2448,-72.2807,1
,121.0353,,2.99035,4.0986,-28.5334,-43.9228,1
,121.036,,6.71004,4.72915,-29.1572,-36.6023,1
,121.0367,,7.00178,-0.157638,-5.03058,-31.0587,1
,121.0373,,3.9385,-3.54686,35.8579,-8.52869,1
,121.038,,3.9385,1.6552,53.2436,-2.13217,1
,121.0387,,6.05363,4.41388,52.3381,3.41148,1
,121.0393,,3.64676,-0.472915,66.9872,15.9202,1
,121.04,,-4.01144,-0.788192,75.841,7.67582,1
,121.0407,,-9.77332,5.59616,55.6985,9.808,1
,121.0413,,-9.48158,5.59616,31.8939,27.7893,1
,121.042,,-3.06328,-2.0493,0.462813,1.2793,1
,121.0427,,2.99035,-5.35971,-52.0363,-39.9427,1
,121.0433,,1.82338,-5.35971,-79.2014,-28.6422,1
,121.044,,-0.656417,-7.8031,-52.3381,1.2793,1
,121.0447,,5.76188,-5.99026,-15.1119,14.9963,1
,121.0453,,18.5985,-3.23159,-2.59578,18.621,1
,121.046,,25.892,-6.62081,-3.19945,-4.26435,1
,121.0467,,20.7136,-0.788192,-0.160978,-26.2257,1
,121.0473,,19.4737,18.4437,3.19945,-19.1896,1
,121.048,,25.6003,22.3847,5.03058,-16.1334,1
,121.0487,,7.87701,8.03956,12.0533,6.75188,1
,121.0493,,-23.1934,4.41388,16.943,77.2558,1
,121.05,,-19.5466,6.85727,11.1276,101.634,1
,121.0507,,8.16875,-1.73402,-1.69027,56.2183,1
,121.0513,,43.0318,-5.35971,-22.7382,40.6534,1
,121.052,,107.361,3.15277,-43.8063,49.1821,1
,121.0527,,158.051,9.30067,-43.4843,18.0524,1
,121.0533,,136.389,15.0545,-34.3287,-0.852869,1
,121.054,,63.7454,20.8871,-25.173,27.7893,1
,121.0547,,-50.9817,8.03956,2.89761,18.9763,1
,121.0553,,-176.43,-15.1333,27.9096,-61.3355,1
,121.056,,-177.67,-21.8329,12.3551,-90.3331,1
,121.0567,,-54.6285,-11.1923,-17.2448,17.1285,1
,121.0573,,10.3568,0.709373,-35.8579,145.272,1
,121.058,,-25.3815,-0.472915,-44.7118,172.493,1
,121.0587,,-53.7533,-8.74893,-27.9298,151.384,1
,121.0593,,-48.2831,-4.49269,-1.36832,116.346,1
,121.06,,-36.6864,1.02465,0.764648,4.904,1
,121.0607,,-18.9632,-6.30554,-1.36832,-116.275,1
,121.0613,,-6.78298,8.67011,11.4496,-108.599,1
