Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.7047,,4.81373,-1.10347,3.80312,17.1285,1
,119.7053,,1.16696,-3.54686,1.97199,11.3005,1
,119.706,,-0.948158,1.6552,0.764648,-10.0212,1
,119.7067,,-0.656417,9.30067,-3.19945,-64.9602,1
,119.7073,,-0.364676,4.0986,-2.29394,-89.0538,1
,119.708,,-1.89632,-3.86214,5.63425,-50.9589,1
,119.7087,,-0.656417,0.0788192,6.86171,-16.7731,1
,119.7093,,3.64676,3.78332,0.462813,-14.9252,1
,119.71,,2.99035,2.52221,1.36832,-13.717,1
,119.7107,,-1.2399,1.97048,7.78733,-8.17333,1
,119.7113,,-1.89632,0.0788192,2.29394,-4.54864,1
,119.712,,-0.948158,-1.73402,-9.31663,6.11223,1
,119.7127,,-0.364676,0.394096,-9.9203,24.4489,1
,119.7133,,0.875223,2.83749,-4.72874,36.6734,1
,119.714,,-0.364676,2.83749,-4.12507,37.5973,1
,119.7147,,-2.4798,-0.788192,-3.5214,37.8816,1
,119.7153,,-0.656417,-4.17742,-0.764648,29.6372,1
,119.716,,1.4587,-1.41875,-1.06648,-16.4177,1
,119.7167,,-0.656417,1.02465,-1.99211,-68.3006,1
,119.7173,,-3.06328,-2.36458,-0.462813,-57.924,1
,119.718,,-1.53164,-4.49269,0.462813,-10.6609,1
,119.7187,,2.99035,-8.43365,2.29394,3.98006,1
,119.7193,,4.23024,-15.4486,3.19945,-2.41646,1
,119.72,,1.82338,-9.06421,-1.36832,3.05612,1
,119.7207,,2.6986,8.98539,-5.03058,8.59977,1
,119.7213,,5.1784,18.4437,-3.5214,6.75188,1
,119.722,,2.40686,12.9263,-5.35253,4.904,1
,119.7227,,-1.2399,2.28576,-8.08917,4.904,1
,119.7233,,-1.2399,-3.54686,-4.12507,5.54365,1
,119.724,,-0.948158,-2.60103,-6.55987,5.54365,1
,119.7247,,-0.948158,-2.0493,-10.8459,3.41148,1
,119.7253,,0.291741,-0.472915,3.19945,2.48754,1
,119.726,,0.291741,5.59616,16.0174,5.82794,1
